description,location,days_open,priority
Roadside debris,highway,154,Low
Noise complaint,residential,64,Medium
Roadside debris,industrial,165,Low
Roadside debris,commercial,108,Low
Blocked drain,commercial,173,Low
Stray animals,public park,6,High
Weeds on sidewalk,residential,119,Low
Stray animals,commercial,75,Medium
Trash overflow,commercial,45,Medium
Sewer issue,commercial,120,Low
Water leakage,public park,77,Medium
Streetlight not working,highway,40,Medium
Noise complaint,public park,89,Medium
Stray animals,industrial,61,Medium
Pothole on road,public park,145,Low
Roadside debris,industrial,91,Low
Water leakage,residential,55,Medium
Pothole on road,public park,142,Low
Sewer issue,highway,13,High
Fallen tree,commercial,47,Medium
Pothole on road,highway,116,Low
Stray animals,highway,65,Medium
Broken traffic signal,industrial,92,Low
Trash overflow,commercial,119,Low
Fallen tree,residential,9,High
Sewer issue,highway,163,Low
Weeds on sidewalk,public park,125,Low
Blocked drain,residential,162,Low
Pothole on road,public park,150,Low
Noise complaint,residential,49,Medium
Roadside debris,residential,147,Low
Roadside debris,residential,119,Low
Water leakage,residential,96,Low
Weeds on sidewalk,residential,127,Low
Noise complaint,commercial,77,Medium
Stray animals,highway,146,Low
Trash overflow,public park,117,Low
Roadside debris,highway,146,Low
Sewer issue,highway,87,Medium
Water leakage,commercial,148,Low
Broken traffic signal,public park,30,High
Sewer issue,highway,5,High
Noise complaint,public park,89,Medium
Broken traffic signal,industrial,1,High
Roadside debris,highway,76,Medium
Streetlight not working,commercial,118,Low
Sewer issue,highway,75,Medium
Illegal dumping,highway,153,Low
Roadside debris,highway,116,Low
Sewer issue,industrial,176,Low
Stray animals,residential,113,Low
Stray animals,public park,77,Medium
Broken traffic signal,highway,4,High
Stray animals,industrial,152,Low
Trash overflow,residential,56,Medium
Noise complaint,industrial,50,Medium
Broken traffic signal,industrial,101,Low
Illegal dumping,public park,149,Low
Sewer issue,residential,136,Low
Stray animals,industrial,67,Medium
Streetlight not working,commercial,63,Medium
Noise complaint,commercial,62,Medium
Streetlight not working,highway,22,High
Water leakage,public park,45,Medium
Sewer issue,highway,52,Medium
Water leakage,residential,80,Medium
Pothole on road,highway,91,Low
Blocked drain,public park,158,Low
Fallen tree,commercial,176,Low
Water leakage,highway,103,Low
Blocked drain,industrial,92,Low
Sewer issue,highway,26,High
Sewer issue,highway,133,Low
Stray animals,industrial,112,Low
Weeds on sidewalk,residential,143,Low
Trash overflow,residential,75,Medium
Broken traffic signal,public park,41,Medium
Water leakage,highway,58,Medium
Sewer issue,commercial,174,Low
Water leakage,commercial,173,Low
Blocked drain,highway,96,Low
Stray animals,commercial,102,Low
Noise complaint,industrial,22,High
Pothole on road,commercial,135,Low
Noise complaint,commercial,102,Low
Trash overflow,industrial,98,Low
Pothole on road,commercial,115,Low
Weeds on sidewalk,residential,150,Low
Blocked drain,public park,18,High
Roadside debris,residential,122,Low
Trash overflow,residential,158,Low
Pothole on road,industrial,146,Low
Blocked drain,highway,18,High
Water leakage,industrial,95,Low
Trash overflow,residential,88,Medium
Streetlight not working,industrial,47,High
Pothole on road,commercial
